"lat","lon","N_khy_1850","N_khy_2000","N_to_1984","N_to_2000"
33.1578947368,-117.5,0.3445493,5.753731,306.755209,394.6011693
33.1578947368,-120,0.180702,2.0686435,98.6172305,131.0026143
33.1578947368,-122.5,0.1801403,2.297557,104.6001916,139.4556545
33.1578947368,-125,0.1300346,1.2380599,54.5022889,72.6155986
33.1578947368,-127.5,0.112334,0.9921368,43.9890733,58.8929445
33.1578947368,-62.5,0.7837832,1.6897167,153.7066772,184.7032175
33.1578947368,-65,0.9718979,1.8853387,179.5475941,215.68343
33.1578947368,-67.5,1.2839024,2.1009305,215.3485711,257.8041734
33.1578947368,-70,1.6463517,2.563863,276.4061666,329.7791676
33.1578947368,-72.5,2.604327,3.713748,404.379316,477.939651
33.1578947368,-75,4.204095,5.589244,603.221947,704.826282
33.1578947368,-77.5,5.165866,6.296891,682.447729,788.539124
33.1578947368,-80,11.291917,9.481809,1303.341406,1457.020408
33.1578947368,-82.5,8.60075,10.816655,1165.289414,1341.072672
33.1578947368,-85,8.465092,11.89361,1252.751884,1443.210302
33.1578947368,-87.5,6.73654,10.5394,1020.846385,1188.021857
33.1578947368,-90,7.003602,10.43888,1042.48766,1204.27926
33.1578947368,-92.5,4.651285,10.06587,769.315606,922.301041
33.1578947368,-95,3.070287,10.96745,641.98817,805.600952
33.1578947368,-97.5,1.736913,10.89455,559.70856,718.314508
35.0526315789,-100,1.224309,8.72025,394.7914,525.61941
35.0526315789,-102.5,1.0022986,9.19524,387.1511037,521.2401537
35.0526315789,-105,0.8500814,8.1073,355.3745609,479.1421569
35.0526315789,-107.5,0.816886,7.52693,343.069293,459.200333
35.0526315789,-110,0.686594,5.371077,259.2647167,346.0957057
35.0526315789,-112.5,0.5597833,5.622178,262.1378274,351.5554284
35.0526315789,-115,0.3719997,4.142069,190.4528736,255.1136396
35.0526315789,-117.5,0.4651626,5.440231,286.5860706,370.6978384
35.0526315789,-120,0.4232081,4.121217,201.8948968,265.9793009
35.0526315789,-122.5,0.2110728,2.830651,127.6177726,170.1566403
35.0526315789,-125,0.1522023,1.3863564,60.4851342,80.7325029
35.0526315789,-127.5,0.1287135,1.1104028,47.9258818,64.3414762
35.0526315789,-62.5,0.9840872,2.1130025,209.2633118,251.974372
35.0526315789,-65,1.2453217,2.5200297,248.7315384,299.3172919
35.0526315789,-67.5,1.6466237,3.160007,311.0925277,373.8565307
35.0526315789,-70,2.298419,4.304886,412.366321,494.546498
35.0526315789,-72.5,3.399909,6.039132,559.185764,666.742904
35.0526315789,-75,4.138324,7.158947,643.566274,764.080034
35.0526315789,-77.5,6.738887,10.114636,964.20665,1134.371347
35.0526315789,-80,7.624438,11.863499,1114.851503,1314.975091
35.0526315789,-82.5,6.009794,10.827993,944.304921,1126.820745
35.0526315789,-85,7.063672,11.8698,1059.636099,1257.099869
35.0526315789,-87.5,6.36092,11.45975,978.277991,1167.021721
35.0526315789,-90,6.660908,12.4393,1073.692896,1272.840456
35.0526315789,-92.5,3.680601,10.99376,762.981295,934.552825
35.0526315789,-95,3.164875,11.14867,688.237155,856.797795
35.0526315789,-97.5,1.752848,10.51699,549.557226,709.439486
36.9473684211,-100,1.228466,9.82077,457.052989,607.306389
36.9473684211,-102.5,1.075098,6.89306,337.514003,447.216143
36.9473684211,-105,0.876951,5.72951,279.598902,368.889012
36.9473684211,-107.5,1.008103,5.51458,267.422922,349.410269
36.9473684211,-110,0.580877,4.278835,202.4390285,268.3577475
36.9473684211,-112.5,0.5427609,3.945817,189.2020034,250.7004514
36.9473684211,-115,0.4305798,3.321643,160.5056278,212.7687148
36.9473684211,-117.5,0.4414226,3.131667,155.0590061,203.8354301
36.9473684211,-120,0.7526317,5.39395,283.7407565,368.5723645
36.9473684211,-122.5,0.3133273,3.679071,190.8059867,247.5722783
36.9473684211,-125,0.1817287,1.4831306,65.0021783,86.5871471
36.9473684211,-127.5,0.1462246,1.1368298,50.0154556,66.9254576
36.9473684211,-62.5,1.1987631,3.01071,282.1093574,341.693674
36.9473684211,-65,1.5325326,3.839651,346.9255845,420.2762255
36.9473684211,-67.5,2.184463,5.053057,440.041845,532.921494
36.9473684211,-70,2.86674,6.546524,546.650662,661.051091
36.9473684211,-72.5,3.640818,7.967996,635.78203,766.541416
36.9473684211,-75,3.090904,7.247416,549.49334,664.186723
36.9473684211,-77.5,5.443917,11.308097,879.864757,1064.744163
36.9473684211,-80,5.272772,11.391942,871.044406,1062.969828
36.9473684211,-82.5,5.744637,11.05786,892.123845,1082.807535
36.9473684211,-85,6.118348,13.37563,1025.16827,1249.81439
36.9473684211,-87.5,5.660588,14.05403,1016.04739,1248.47361
36.9473684211,-90,6.210424,11.63805,981.989831,1172.483891
36.9473684211,-92.5,4.225606,10.47286,771.94355,936.78703
36.9473684211,-95,2.816427,11.50195,706.348402,884.493952
36.9473684211,-97.5,1.879024,11.20493,593.077589,764.582989
38.8421052632,-100,1.462341,10.66185,508.393684,676.848804
38.8421052632,-102.5,1.2004676,6.69382,354.9599733,466.8326833
38.8421052632,-105,1.038469,5.277836,294.08072,376.81477
38.8421052632,-107.5,0.879212,3.968149,201.987153,259.367693
38.8421052632,-110,0.5665716,3.294619,151.9908676,199.4191516
38.8421052632,-112.5,0.5799467,3.054153,145.0549633,189.1328243
38.8421052632,-115,0.5162386,2.573157,126.3115317,164.6785257
38.8421052632,-117.5,0.4450282,2.308806,115.3351062,151.2206332
38.8421052632,-120,0.942815,3.855271,216.1138801,276.8433771
38.8421052632,-122.5,0.5632479,4.561014,238.8216764,310.6753824
38.8421052632,-125,0.2187633,1.5933432,69.69168,92.5804274
38.8421052632,-127.5,0.1664865,1.1015169,48.7594473,64.6899753
38.8421052632,-62.5,1.4776695,4.585029,362.6416665,441.4944679
38.8421052632,-65,1.944938,5.844169,443.3380157,539.8774447
38.8421052632,-67.5,2.540554,7.152871,531.495834,645.66801
38.8421052632,-70,3.223638,8.065469,620.62603,749.09378
